order_id,new_order_date,order_date,ship_date,ship_mode,customer_name,segment,state,country,market,region,product_id,category,sub_category,product_name,sales,quantity,discount,profit,shipping_cost,order_priority,year
IN-2011-46504,2011-02-19,2/19/2011,2/21/2011,"Second Class","Larry Tron",Consumer,Telangana,India,APAC,"Central Asia",OFF-SU-10002742,"Office Supplies",Supplies,""Stiletto Trimmer",21,118,3.000,0.00000,36.63," 9.87 ",0
IN-2011-16362,2011-02-22,2/22/2011,2/26/2011,"Standard Class","Rick Huthwaite","Home Office",Rajasthan,India,APAC,"Central Asia",TEC-AC-10000051,Technology,Accessories,""Logitech Memory Card",21,207,2.000,0.00000,43.50," 5.99 ",0
IN-2011-44901,2011-02-23,2/23/2011,2/26/2011,"First Class","Mitch Gastineau",Corporate,Maharashtra,India,APAC,"Central Asia",TEC-CO-10004997,Technology,Copiers,""Hewlett Wireless Fax",21,0,527.000,4.00000,0.00,732.72,320
IN-2011-44901,2011-02-23,2/23/2011,2/26/2011,"First Class","Mitch Gastineau",Corporate,Maharashtra,India,APAC,"Central Asia",FUR-BO-10002462,Furniture,Bookcases,""Ikea Classic Bookcase",21,0,66.000,5.00000,0.00,41.25,249
IN-2011-44901,2011-02-23,2/23/2011,2/26/2011,"First Class","Mitch Gastineau",Corporate,Maharashtra,India,APAC,"Central Asia",OFF-SU-10002566,"Office Supplies",Supplies,""Stiletto Trimmer",21,169,4.000,0.00000,70.80," 8.40 ",0
IN-2011-44901,2011-02-23,2/23/2011,2/26/2011,"First Class","Mitch Gastineau",Corporate,Maharashtra,India,APAC,"Central Asia",OFF-EN-10000224,"Office Supplies",Envelopes,""Cameo Clasp Envelope",21,17,2.000,0.00000,3.30," 3.97 ",0
IN-2011-59510,2011-03-18,3/18/2011,3/23/2011,"Standard Class","Darren Koutras",Consumer,"Uttar Pradesh",India,APAC,"Central Asia",FUR-BO-10001342,Furniture,Bookcases,""Safco Corner Shelving",21,596,4.000,0.00000,0.00," 29.23 ",0
IN-2011-59510,2011-03-18,3/18/2011,3/23/2011,"Standard Class","Darren Koutras",Consumer,"Uttar Pradesh",India,APAC,"Central Asia",OFF-EN-10001975,"Office Supplies",Envelopes,""Kraft Business Envelopes",21,49,3.000,0.00000,6.39," 3.09 ",0
IN-2011-59510,2011-03-18,3/18/2011,3/23/2011,"Standard Class","Darren Koutras",Consumer,"Uttar Pradesh",India,APAC,"Central Asia",OFF-LA-10002272,"Office Supplies",Labels,""Smead File Folder Labels",21,17,2.000,0.00000,1.38," 1.36 ",0
IN-2011-49129,2011-03-21,3/21/2011,3/25/2011,"Standard Class","Mike Vittorini",Consumer,"Andhra Pradesh",India,APAC,"Central Asia",TEC-CO-10003992,Technology,Copiers,""HP Ink",21,781,6.000,0.00000,54.54," 87.05 ",0
IN-2011-49129,2011-03-21,3/21/2011,3/25/2011,"Standard Class","Mike Vittorini",Consumer,"Andhra Pradesh",India,APAC,"Central Asia",OFF-SU-10004766,"Office Supplies",Supplies,""Kleencut Shears",21,97,2.000,0.00000,44.46," 12.00 ",0
IN-2011-49129,2011-03-21,3/21/2011,3/25/2011,"Standard Class","Mike Vittorini",Consumer,"Andhra Pradesh",India,APAC,"Central Asia",OFF-EN-10004550,"Office Supplies",Envelopes,""GlobeWeis Interoffice Envelope",21,93,2.000,0.00000,29.82," 11.52 ",0
IN-2011-39392,2011-03-30,3/30/2011,4/6/2011,"Standard Class","Guy Thornton",Consumer,Rajasthan,India,APAC,"Central Asia",OFF-FA-10003745,"Office Supplies",Fasteners,""Accos Rubber Bands",21,218,13.000,0.00000,69.81," 14.14 ",0
IN-2011-62982,2011-03-30,3/30/2011,4/1/2011,"Second Class","Vivek Gonzalez",Consumer,"West Bengal",India,APAC,"Central Asia",TEC-AC-10001835,Technology,Accessories,""Belkin Mouse",21,127,3.000,0.00000,17.64," 12.98 ",0
IN-2011-42570,2011-03-30,3/30/2011,4/2/2011,"First Class","Maya Herman",Corporate,Maharashtra,India,APAC,"Central Asia",OFF-EN-10004590,"Office Supplies",Envelopes,""Ames Peel and Seal",21,44,2.000,0.00000,11.52," 5.35 ",0
IN-2011-39392,2011-03-30,3/30/2011,4/6/2011,"Standard Class","Guy Thornton",Consumer,Rajasthan,India,APAC,"Central Asia",OFF-BI-10004369,"Office Supplies",Binders,""Ibico Hole Reinforcements",21,22,3.000,0.00000,7.92," 1.19 ",0
IN-2011-44593,2011-04-14,4/14/2011,4/14/2011,"Same Day","Lena Radford",Consumer,Maharashtra,India,APAC,"Central Asia",OFF-ST-10003243,"Office Supplies",Storage,""Fellowes Folders",21,106,4.000,0.00000,39.00," 20.95 ",0
IN-2011-44593,2011-04-14,4/14/2011,4/14/2011,"Same Day","Lena Radford",Consumer,Maharashtra,India,APAC,"Central Asia",OFF-PA-10000302,"Office Supplies",Paper,""Eaton Computer Printout Paper",21,56,2.000,0.00000,20.64," 7.86 ",0
IN-2011-44593,2011-04-14,4/14/2011,4/14/2011,"Same Day","Lena Radford",Consumer,Maharashtra,India,APAC,"Central Asia",OFF-AP-10000304,"Office Supplies",Appliances,""Hoover Microwave",21,0,841.000,6.00000,0.00,846.54,3
IN-2011-70584,2011-04-15,4/15/2011,4/17/2011,"Second Class","Patrick Ryan",Consumer,"Tamil Nadu",India,APAC,"Central Asia",FUR-CH-10003965,Furniture,Chairs,""Hon Rocking Chair",21,261,2.000,0.00000,101.88," 18.48 ",0
IN-2011-57704,2011-04-19,4/19/2011,4/22/2011,"Second Class","Bryan Mills",Consumer,Maharashtra,India,APAC,"Central Asia",FUR-FU-10002292,Furniture,Furnishings,""Deflect-O Door Stop",21,132,3.000,0.00000,54.09," 18.44 ",0
IN-2011-57704,2011-04-19,4/19/2011,4/22/2011,"Second Class","Bryan Mills",Consumer,Maharashtra,India,APAC,"Central Asia",OFF-BI-10001659,"Office Supplies",Binders,""Cardinal Index Tab",21,29,4.000,0.00000,5.16," 3.34 ",0
IN-2011-45041,2011-05-06,5/6/2011,5/10/2011,"Standard Class","Magdelene Morse",Consumer,Maharashtra,India,APAC,"Central Asia",OFF-BI-10002446,"Office Supplies",Binders,""Wilson Jones Binder",21,78,6.000,0.00000,14.76," 4.67 ",0
ID-2011-71851,2011-05-10,5/10/2011,5/13/2011,"First Class","Michael Kennedy",Corporate,Maharashtra,India,APAC,"Central Asia",TEC-AC-10004012,Technology,Accessories,""Enermax Flash Drive",21,118,6.000,0.50000,-18.99," 33.93 ",0
IN-2011-46728,2011-05-18,5/18/2011,5/20/2011,"Second Class","Ken Brennan",Corporate,Maharashtra,India,APAC,"Central Asia",TEC-CO-10003777,Technology,Copiers,""Hewlett Copy Machine",21,786,3.000,0.00000,157.05," 108.60 ",0
IN-2011-62499,2011-05-18,5/18/2011,5/22/2011,"Standard Class","Mark Haberlin",Corporate,Maharashtra,India,APAC,"Central Asia",OFF-PA-10002047,"Office Supplies",Paper,""Green Bar Cards & Envelopes",19,263,5.000,0.00000,31.50," 24.85 ",0
IN-2011-74994,2011-05-26,5/26/2011,5/31/2011,"Standard Class","Andrew Gjertsen",Corporate,Punjab,India,APAC,"Central Asia",TEC-AC-10004016,Technology,Accessories,""Memorex Flash Drive",21,185,6.000,0.00000,44.46," 13.48 ",0
IN-2011-47533,2011-05-26,5/26/2011,6/1/2011,"Standard Class","Bryan Davis",Consumer,"Tamil Nadu",India,APAC,"Central Asia",OFF-SU-10001709,"Office Supplies",Supplies,""Kleencut Scissors",21,45,2.000,0.00000,19.14," 5.32 ",0
IN-2011-74994,2011-05-26,5/26/2011,5/31/2011,"Standard Class","Andrew Gjertsen",Corporate,Punjab,India,APAC,"Central Asia",OFF-BI-10003265,"Office Supplies",Binders,""Wilson Jones Binder",21,100,8.000,0.00000,8.88," 4.64 ",0
IN-2011-12288,2011-05-30,5/30/2011,6/4/2011,"Standard Class","John Stevenson",Consumer,Gujarat,India,APAC,"Central Asia",TEC-PH-10003488,Technology,Phones,""Nokia Signal Booster",21,956,7.000,0.00000,162.54," 89.01 ",0
IN-2011-12288,2011-05-30,5/30/2011,6/4/2011,"Standard Class","John Stevenson",Consumer,Gujarat,India,APAC,"Central Asia",TEC-CO-10003982,Technology,Copiers,""HP Ink",21,381,3.000,0.00000,163.62," 28.00 ",0
IN-2011-29067,2011-05-30,5/30/2011,6/3/2011,"Second Class","Shui Tom",Consumer,Delhi,India,APAC,"Central Asia",OFF-BI-10000168,"Office Supplies",Binders,""Cardinal Hole Reinforcements",21,11,2.000,0.00000,2.82," 0.80 ",0
IN-2011-75218,2011-05-31,5/31/2011,5/31/2011,"Same Day","Amy Hunt",Consumer,Karnataka,India,APAC,"Central Asia",TEC-AC-10001463,Technology,Accessories,""Logitech Numeric Keypad",21,383,8.000,0.00000,68.64," 65.04 ",0
IN-2011-75218,2011-05-31,5/31/2011,5/31/2011,"Same Day","Amy Hunt",Consumer,Karnataka,India,APAC,"Central Asia",OFF-EN-10003498,"Office Supplies",Envelopes,""Cameo Interoffice Envelope",21,139,3.000,0.00000,51.30," 10.77 ",0
IN-2011-45489,2011-05-31,5/31/2011,6/6/2011,"Standard Class","Gary Hwang",Consumer,Punjab,India,APAC,"Central Asia",OFF-FA-10004698,"Office Supplies",Fasteners,""Stockwell Staples",21,32,3.000,0.00000,0.90," 2.46 ",0
IN-2011-71634,2011-06-01,6/1/2011,6/6/2011,"Standard Class","Mark Cousins",Corporate,Rajasthan,India,APAC,"Central Asia",OFF-EN-10002007,"Office Supplies",Envelopes,""Kraft Clasp Envelope",21,63,5.000,0.00000,9.90," 4.18 ",0
IN-2011-43599,2011-06-02,6/2/2011,6/7/2011,"Standard Class","John Grady",Corporate,"Uttar Pradesh",India,APAC,"Central Asia",TEC-AC-10004487,Technology,Accessories,""Memorex Router",21,976,4.000,0.00000,361.08," 51.72 ",0
IN-2011-43599,2011-06-02,6/2/2011,6/7/2011,"Standard Class","John Grady",Corporate,"Uttar Pradesh",India,APAC,"Central Asia",OFF-BI-10000721,"Office Supplies",Binders,""Ibico Binder Covers",21,112,8.000,0.00000,4.32," 7.02 ",0
IN-2011-43599,2011-06-02,6/2/2011,6/7/2011,"Standard Class","John Grady",Corporate,"Uttar Pradesh",India,APAC,"Central Asia",TEC-AC-10004938,Technology,Accessories,""Belkin Mouse",21,81,2.000,0.00000,11.34," 4.78 ",0
IN-2011-43599,2011-06-02,6/2/2011,6/7/2011,"Standard Class","John Grady",Corporate,"Uttar Pradesh",India,APAC,"Central Asia",OFF-ST-10003017,"Office Supplies",Storage,""Tenex Box",21,51,3.000,0.00000,7.56," 3.21 ",0
IN-2011-43599,2011-06-02,6/2/2011,6/7/2011,"Standard Class","John Grady",Corporate,"Uttar Pradesh",India,APAC,"Central Asia",OFF-LA-10002107,"Office Supplies",Labels,""Harbour Creations Removable Labels",21,31,3.000,0.00000,9.72," 1.79 ",0
IN-2011-73335,2011-06-07,6/7/2011,6/10/2011,"First Class","Eugene Hildebrand","Home Office","Uttar Pradesh",India,APAC,"Central Asia",TEC-CO-10000269,Technology,Copiers,""HP Ink",21,386,3.000,0.00000,27.00," 87.16 ",0
IN-2011-73335,2011-06-07,6/7/2011,6/10/2011,"First Class","Eugene Hildebrand","Home Office","Uttar Pradesh",India,APAC,"Central Asia",TEC-CO-10001531,Technology,Copiers,""Hewlett Fax and Copier",21,194,1.000,0.00000,91.32," 56.71 ",0
IN-2011-73335,2011-06-07,6/7/2011,6/10/2011,"First Class","Eugene Hildebrand","Home Office","Uttar Pradesh",India,APAC,"Central Asia",TEC-AC-10003895,Technology,Accessories,""Enermax Mouse",21,121,3.000,0.00000,53.10," 17.84 ",0
IN-2011-31713,2011-06-09,6/9/2011,6/14/2011,"Standard Class","Mitch Willingham",Corporate,Telangana,India,APAC,"Central Asia",OFF-AR-10000097,"Office Supplies",Art,""BIC Sketch Pad",21,146,3.000,0.00000,4.32," 17.66 ",0
IN-2011-29935,2011-06-10,6/10/2011,6/10/2011,"Same Day","Justin MacKendrick",Consumer,Kerala,India,APAC,"Central Asia",OFF-BI-10000006,"Office Supplies",Binders,""Ibico Binder",21,51,3.000,0.00000,10.62," 6.16 ",0
IN-2011-13534,2011-06-10,6/10/2011,6/15/2011,"Standard Class","Michael Grace","Home Office","West Bengal",India,APAC,"Central Asia",OFF-EN-10003455,"Office Supplies",Envelopes,""Cameo Manila Envelope",21,54,2.000,0.00000,18.36," 3.92 ",0
IN-2011-62450,2011-06-13,6/13/2011,6/17/2011,"Standard Class","Andy Yotov",Corporate,"Uttar Pradesh",India,APAC,"Central Asia",OFF-ST-10000007,"Office Supplies",Storage,""Fellowes File Cart",21,275,2.000,0.00000,137.34," 23.21 ",0
ID-2011-45272,2011-06-13,6/13/2011,6/19/2011,"Standard Class","Tracy Zic",Consumer,Maharashtra,India,APAC,"Central Asia",OFF-PA-10000776,"Office Supplies",Paper,""Xerox Cards & Envelopes",21,67,3.000,0.50000,-4.10," 4.60 ",0
IN-2011-62450,2011-06-13,6/13/2011,6/17/2011,"Standard Class","Andy Yotov",Corporate,"Uttar Pradesh",India,APAC,"Central Asia",OFF-AR-10000249,"Office Supplies",Art,""Sanford Highlighters",21,51,3.000,0.00000,16.83," 4.53 ",0
IN-2011-62450,2011-06-13,6/13/2011,6/17/2011,"Standard Class","Andy Yotov",Corporate,"Uttar Pradesh",India,APAC,"Central Asia",OFF-FA-10002241,"Office Supplies",Fasteners,""Stockwell Clamps",21,57,3.000,0.00000,19.17," 4.30 ",0
IN-2011-76961,2011-06-17,6/17/2011,6/23/2011,"Standard Class","Richard Eichhorn",Consumer,Delhi,India,APAC,"Central Asia",TEC-PH-10001725,Technology,Phones,""Motorola Speaker Phone",21,265,2.000,0.00000,13.26," 13.20 ",0
IN-2011-76961,2011-06-17,6/17/2011,6/23/2011,"Standard Class","Richard Eichhorn",Consumer,Delhi,India,APAC,"Central Asia",OFF-BI-10000106,"Office Supplies",Binders,""Cardinal Hole Reinforcements",21,19,4.000,0.00000,6.48," 1.02 ",0
IN-2011-12890,2011-06-21,6/21/2011,6/25/2011,"Standard Class","Carol Triggs",Consumer,Rajasthan,India,APAC,"Central Asia",OFF-PA-10003654,"Office Supplies",Paper,""SanDisk Memo Slips",21,51,3.000,0.00000,10.62," 3.35 ",0
IN-2011-12890,2011-06-21,6/21/2011,6/25/2011,"Standard Class","Carol Triggs",Consumer,Rajasthan,India,APAC,"Central Asia",OFF-LA-10001764,"Office Supplies",Labels,""Avery Round Labels",21,10,2.000,0.00000,0.48," 0.48 ",0
IN-2011-12890,2011-06-21,6/21/2011,6/25/2011,"Standard Class","Carol Triggs",Consumer,Rajasthan,India,APAC,"Central Asia",OFF-ST-10003606,"Office Supplies",Storage,""Smead Box",21,22,2.000,0.00000,5.40," 0.47 ",0
IN-2011-41254,2011-06-22,6/22/2011,6/26/2011,"Standard Class","Scot Coram",Corporate,"Tamil Nadu",India,APAC,"Central Asia",FUR-BO-10001372,Furniture,Bookcases,""Safco Classic Bookcase",21,0,637.000,6.00000,0.00,184.5,201
IN-2011-41254,2011-06-22,6/22/2011,6/26/2011,"Standard Class","Scot Coram",Corporate,"Tamil Nadu",India,APAC,"Central Asia",TEC-PH-10002601,Technology,Phones,""Motorola Smart Phone",21,0,286.000,2.00000,0.00,51.42,91
IN-2011-24986,2011-06-22,6/22/2011,6/26/2011,"Standard Class","Giulietta Weimer",Consumer,Maharashtra,India,APAC,"Central Asia",OFF-BI-10000871,"Office Supplies",Binders,""Wilson Jones Binder Covers",21,23,2.000,0.00000,7.14," 2.46 ",0
IN-2011-41254,2011-06-22,6/22/2011,6/26/2011,"Standard Class","Scot Coram",Corporate,"Tamil Nadu",India,APAC,"Central Asia",OFF-SU-10000178,"Office Supplies",Supplies,""Acme Ruler",21,37,2.000,0.00000,2.88," 1.00 ",0
IN-2011-46322,2011-06-27,6/27/2011,6/29/2011,"First Class","Joy Daniels",Consumer,"Tamil Nadu",India,APAC,"Central Asia",TEC-CO-10000560,Technology,Copiers,""Hewlett Ink",21,147,1.000,0.00000,2.91," 27.59 ",0
IN-2011-46322,2011-06-27,6/27/2011,6/29/2011,"First Class","Joy Daniels",Consumer,"Tamil Nadu",India,APAC,"Central Asia",OFF-SU-10001731,"Office Supplies",Supplies,""Elite Letter Opener",21,134,5.000,0.00000,65.40," 17.12 ",0
IN-2011-46581,2011-06-28,6/28/2011,7/2/2011,"Second Class","Tom Ashbrook","Home Office","Tamil Nadu",India,APAC,"Central Asia",OFF-EN-10004424,"Office Supplies",Envelopes,""GlobeWeis Interoffice Envelope",21,191,4.000,0.00000,28.68," 25.00 ",0
IN-2011-37999,2011-06-30,6/30/2011,7/7/2011,"Standard Class","Nathan Gelder",Consumer,"West Bengal",India,APAC,"Central Asia",FUR-FU-10002223,Furniture,Furnishings,""Deflect-O Stacking Tray",21,76,3.000,0.00000,18.90," 14.32 ",0
IN-2011-10426,2011-07-06,7/6/2011,7/7/2011,"First Class","Michelle Tran","Home Office",Karnataka,India,APAC,"Central Asia",OFF-ST-10004331,"Office Supplies",Storage,""Eldon Folders",21,34,2.000,0.00000,3.36," 13.61 ",0
IN-2011-62016,2011-07-12,7/12/2011,7/19/2011,"Standard Class","Neoma Murray",Consumer,Maharashtra,India,APAC,"Central Asia",FUR-TA-10000558,Furniture,Tables,""Hon Wood Table",21,0,58.000,2.00000,0.00,338.46,119
ID-2011-58726,2011-07-20,7/20/2011,7/25/2011,"Second Class","Dan Lawera",Consumer,Maharashtra,India,APAC,"Central Asia",OFF-LA-10003848,"Office Supplies",Labels,""Avery File Folder Labels",5010,24,5.000,0.50000,-21.53," 1.45 ",0
IN-2011-70402,2011-07-28,7/28/2011,8/2/2011,"Standard Class","Bradley Drucker",Consumer,Maharashtra,India,APAC,"Central Asia",OFF-PA-10003416,"Office Supplies",Paper,""Green Bar Parchment Paper",21,33,2.000,0.00000,3.30," 3.17 ",0
IN-2011-73244,2011-07-29,7/29/2011,8/1/2011,"First Class","Neil Franzsisch","Home Office","Madhya Pradesh",India,APAC,"Central Asia",OFF-SU-10000649,"Office Supplies",Supplies,""Fiskars Box Cutter",21,107,3.000,0.00000,0.99," 16.64 ",0
IN-2011-19953,2011-07-29,7/29/2011,8/3/2011,"Standard Class","Steven Cartwright",Consumer,Telangana,India,APAC,"Central Asia",OFF-EN-10002556,"Office Supplies",Envelopes,""Ames Business Envelopes",21,17,1.000,0.00000,7.32," 2.04 ",0
IN-2011-67840,2011-08-02,8/2/2011,8/7/2011,"Standard Class","Vivek Grady",Corporate,Gujarat,India,APAC,"Central Asia",FUR-CH-10000660,Furniture,Chairs,""Novimex Executive Leather Armchair",21,911,2.000,0.00000,282.42," 83.97 ",0
IN-2011-67840,2011-08-02,8/2/2011,8/7/2011,"Standard Class","Vivek Grady",Corporate,Gujarat,India,APAC,"Central Asia",OFF-SU-10000866,"Office Supplies",Supplies,""Elite Trimmer",21,115,3.000,0.00000,13.77," 7.61 ",0
IN-2011-51740,2011-08-03,8/3/2011,8/6/2011,"Second Class","Don Miller",Corporate,Bihar,India,APAC,"Central Asia",TEC-PH-10000720,Technology,Phones,""Samsung Audio Dock",21,841,5.000,0.00000,319.35," 296.68 ",0
IN-2011-51740,2011-08-03,8/3/2011,8/6/2011,"Second Class","Don Miller",Corporate,Bihar,India,APAC,"Central Asia",OFF-FA-10003819,"Office Supplies",Fasteners,""Advantus Paper Clips",21,42,3.000,0.00000,14.22," 8.74 ",0
IN-2011-51740,2011-08-03,8/3/2011,8/6/2011,"Second Class","Don Miller",Corporate,Bihar,India,APAC,"Central Asia",OFF-EN-10000296,"Office Supplies",Envelopes,""Cameo Business Envelopes",21,51,3.000,0.00000,4.05," 6.30 ",0
IN-2011-59685,2011-08-04,8/4/2011,8/8/2011,"Standard Class","Bryan Mills",Consumer,"Tamil Nadu",India,APAC,"Central Asia",FUR-BO-10001934,Furniture,Bookcases,""Bush Library with Doors",21,0,455.000,4.00000,0.00,116.4,180
IN-2011-59685,2011-08-04,8/4/2011,8/8/2011,"Standard Class","Bryan Mills",Consumer,"Tamil Nadu",India,APAC,"Central Asia",TEC-CO-10001204,Technology,Copiers,""Sharp Copy Machine",21,963,4.000,0.00000,154.08," 87.26 ",0
IN-2011-59685,2011-08-04,8/4/2011,8/8/2011,"Standard Class","Bryan Mills",Consumer,"Tamil Nadu",India,APAC,"Central Asia",TEC-AC-10002883,Technology,Accessories,""Logitech Keyboard",21,351,5.000,0.00000,144.00," 31.20 ",0
IN-2011-74609,2011-08-04,8/4/2011,8/7/2011,"First Class","Edward Nazzal",Consumer,"Tamil Nadu",India,APAC,"Central Asia",OFF-FA-10003186,"Office Supplies",Fasteners,""Accos Push Pins",21,102,7.000,0.00000,33.39," 17.59 ",0
IN-2011-22368,2011-08-11,8/11/2011,8/18/2011,"Standard Class","Janet Martin",Consumer,Jharkhand,India,APAC,"Central Asia",OFF-LA-10003141,"Office Supplies",Labels,""Hon Shipping Labels",21,57,5.000,0.00000,28.35," 6.66 ",0
IN-2011-22368,2011-08-11,8/11/2011,8/18/2011,"Standard Class","Janet Martin",Consumer,Jharkhand,India,APAC,"Central Asia",OFF-LA-10004114,"Office Supplies",Labels,""Avery File Folder Labels",21,9,1.000,0.00000,2.58," 0.71 ",0
IN-2011-25035,2011-08-12,8/12/2011,8/14/2011,"First Class","Skye Norling","Home Office",Punjab,India,APAC,"Central Asia",TEC-AC-10000284,Technology,Accessories,""Belkin Flash Drive",21,252,6.000,0.00000,72.90," 43.10 ",0
IN-2011-25035,2011-08-12,8/12/2011,8/14/2011,"First Class","Skye Norling","Home Office",Punjab,India,APAC,"Central Asia",TEC-MA-10002039,Technology,Machines,""Panasonic Calculator",21,101,2.000,0.00000,14.04," 16.03 ",0
IN-2011-21983,2011-08-12,8/12/2011,8/16/2011,"Standard Class","Clay Rozendal","Home Office","Uttar Pradesh",India,APAC,"Central Asia",FUR-FU-10002525,Furniture,Furnishings,""Deflect-O Door Stop",21,128,3.000,0.00000,59.94," 8.83 ",0
IN-2011-26176,2011-08-16,8/16/2011,8/20/2011,"Standard Class","Ken Brennan",Corporate,"Uttar Pradesh",India,APAC,"Central Asia",FUR-BO-10001934,Furniture,Bookcases,""Bush Library with Doors",21,0,274.000,9.00000,0.00,261.9,351
IN-2011-26176,2011-08-16,8/16/2011,8/20/2011,"Standard Class","Ken Brennan",Corporate,"Uttar Pradesh",India,APAC,"Central Asia",FUR-CH-10002966,Furniture,Chairs,""Harbour Creations Swivel Stool",21,180,1.000,0.00000,5.40," 15.88 ",0
IN-2011-26176,2011-08-16,8/16/2011,8/20/2011,"Standard Class","Ken Brennan",Corporate,"Uttar Pradesh",India,APAC,"Central Asia",FUR-FU-10001770,Furniture,Furnishings,""Deflect-O Clock",21,98,2.000,0.00000,48.90," 7.98 ",0
IN-2011-37614,2011-08-16,8/16/2011,8/20/2011,"Standard Class","Adam Shillingsburg",Consumer,Rajasthan,India,APAC,"Central Asia",TEC-AC-10002255,Technology,Accessories,""Memorex Keyboard",21,69,1.000,0.00000,26.25," 6.79 ",0
IN-2011-22585,2011-08-20,8/20/2011,8/23/2011,"Second Class","Victor Preis","Home Office","Uttar Pradesh",India,APAC,"Central Asia",OFF-ST-10004583,"Office Supplies",Storage,""Eldon Shelving",21,145,3.000,0.00000,7.20," 11.09 ",0
IN-2011-75526,2011-08-22,8/22/2011,8/28/2011,"Standard Class","Dario Medina",Corporate,Gujarat,India,APAC,"Central Asia",TEC-PH-10002601,Technology,Phones,""Motorola Smart Phone",21,0,928.000,3.00000,0.00,77.13,131
IN-2011-75526,2011-08-22,8/22/2011,8/28/2011,"Standard Class","Dario Medina",Corporate,Gujarat,India,APAC,"Central Asia",OFF-SU-10001731,"Office Supplies",Supplies,""Elite Letter Opener",21,80,3.000,0.00000,39.24," 7.88 ",0
IN-2011-77479,2011-08-25,8/25/2011,8/27/2011,"Second Class","Carl Weiss","Home Office","Andhra Pradesh",India,APAC,"Central Asia",FUR-CH-10004163,Furniture,Chairs,""Novimex Steel Folding Chair",21,424,5.000,0.00000,84.60," 47.43 ",0
IN-2011-77479,2011-08-25,8/25/2011,8/27/2011,"Second Class","Carl Weiss","Home Office","Andhra Pradesh",India,APAC,"Central Asia",FUR-FU-10000815,Furniture,Furnishings,""Eldon Door Stop",21,150,3.000,0.00000,28.53," 17.94 ",0
IN-2011-77479,2011-08-25,8/25/2011,8/27/2011,"Second Class","Carl Weiss","Home Office","Andhra Pradesh",India,APAC,"Central Asia",TEC-AC-10004938,Technology,Accessories,""Belkin Mouse",21,122,3.000,0.00000,17.01," 11.36 ",0
